33 )  [0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]
34 )  [0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]
35 )  [0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0]
36 )  [0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]
37 )  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]
38 )  [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]
39 )  [0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2]
40 )  [1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]
41 )  [0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]
42 )  [0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]
43 )  [0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0]
44 )  [0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]
45 )  [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]
46 )  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]
47 )  [0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2]
48 )  [0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2]
49 )  [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]
50 )  [0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]
51 )  [0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]
52 )  [0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0]
53 )  [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]
54 )  [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]
55 )  [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2]
56 )  [0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2]
57 )  [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]
58 )  [0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]
59 )  [0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]
60 )  [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]
61 )  [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]
62 )  [0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2]
63 )  [0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2]
64 )  [0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2]
65 )  [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]
66 )  [0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]
67 )  [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]
68 )  [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
69 )  [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2]
70 )  [0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2]
71 )  [0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]
72 )  [1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]
73 )  [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
74 )  [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
75 )  [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]
76 )  [0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2]
77 )  [0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2]
78 )  [0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2]
79 )  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]
80 )  [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
81 )  [0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2]
82 )  [0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2]
83 )  [0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2]
84 )  [0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2]
85 )  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
86 )  [0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]
87 )  [0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2]
88 )  [0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2]
89 )  [0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2]
90 )  [0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]
91 )  [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]
92 )  [0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]
93 )  [0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2]
94 )  [0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2]
95 )  [0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]
96 )  [1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]
97 )  [0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]
98 )  [0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2]
99 )  [0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2]
100 )  [0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2]
101 )  [1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]
102 )  [0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]
103 )  [0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2]
104 )  [0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2]
105 )  [1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]
106 )  [0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]
107 )  [0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2]
108 )  [0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2]
109 )  [1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]
110 )  [0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]
111 )  [0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]
112 )  [1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]
113 )  [0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]
114 )  [0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2]
115 )  [1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2]
116 )  [0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]
117 )  [1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]
118 )  [0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]
119 )  [1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]
120 )  [1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
